peptide_id,source,length,score,label,avg_ep,max_ep,max_lin_ep
652741,legacy_uniprot_all_2021,28,0.31303415,Epitope,0.313,0.372,0.3424
652744,legacy_uniprot_all_2021,18,0.252145,Epitope,0.2521,0.3418,0.2677
652745,legacy_uniprot_all_2021,10,0.22601159,Epitope,0.226,0.3027,0.2481
652748,legacy_uniprot_all_2021,18,0.29489243,Epitope,0.2949,0.3447,0.3237
652749,legacy_uniprot_all_2021,30,0.31167394,Epitope,0.3117,0.3779,0.3337
652751,legacy_uniprot_all_2021,24,0.15660459,Epitope,0.1566,0.2527,0.1989
652753,legacy_uniprot_all_2021,17,0.25343007,Epitope,0.2534,0.3493,0.2778
652754,legacy_uniprot_all_2021,10,0.28172272,Epitope,0.2817,0.355,0.3097
652757,legacy_uniprot_all_2021,28,0.2291206,Epitope,0.2291,0.3054,0.2774
652760,legacy_uniprot_all_2021,15,0.18209745,Epitope,0.1821,0.2337,0.2022
652762,legacy_uniprot_all_2021,12,0.28165826,Epitope,0.2817,0.3402,0.312
652763,legacy_uniprot_all_2021,12,0.25158384,Epitope,0.2516,0.3433,0.2793
652764,legacy_uniprot_all_2021,15,0.29271147,Epitope,0.2927,0.3513,0.3251
652765,legacy_uniprot_all_2021,28,0.31782308,Epitope,0.3178,0.3712,0.3522
652766,legacy_uniprot_all_2021,11,0.2568713,Epitope,0.2569,0.3569,0.2901
653544,legacy_uniprot_all_2021,28,0.17982204,Epitope,0.1798,0.3372,0.2715
653545,legacy_uniprot_all_2021,26,0.25376648,Epitope,0.2538,0.3662,0.2948
653546,legacy_uniprot_all_2021,30,0.21372952,Epitope,0.2137,0.2731,0.2274
653547,legacy_uniprot_all_2021,27,0.26791686,Epitope,0.2679,0.3539,0.3236
653548,legacy_uniprot_all_2021,29,0.2594041,Epitope,0.2594,0.3452,0.2923
653553,legacy_uniprot_all_2021,15,0.28049812,Epitope,0.2805,0.3359,0.3091
653555,legacy_uniprot_all_2021,29,0.23962186,Epitope,0.2396,0.3208,0.2824
653556,legacy_uniprot_all_2021,30,0.22227994,Epitope,0.2223,0.2965,0.2594
653557,legacy_uniprot_all_2021,12,0.2518196,Epitope,0.2518,0.3141,0.2687
653560,legacy_uniprot_all_2021,20,0.23685649,Epitope,0.2369,0.3198,0.2671
653561,legacy_uniprot_all_2021,29,0.18342766,Epitope,0.1834,0.3011,0.2098
653562,legacy_uniprot_all_2021,19,0.16948375,Epitope,0.1695,0.2839,0.1911
653563,legacy_uniprot_all_2021,30,0.26737064,Epitope,0.2674,0.3732,0.3351
653566,legacy_uniprot_all_2021,25,0.17316177,Epitope,0.1732,0.2471,0.1977
653569,legacy_uniprot_all_2021,23,0.22827752,Epitope,0.2283,0.332,0.2737
653570,legacy_uniprot_all_2021,30,0.25057137,Epitope,0.2506,0.3146,0.2784
653571,legacy_uniprot_all_2021,29,0.23708092,Epitope,0.2371,0.3232,0.2562
653703,legacy_uniprot_all_2021,16,0.25706106,Epitope,0.2571,0.3332,0.287
653704,legacy_uniprot_all_2021,20,0.26184034,Epitope,0.2618,0.35,0.306
653705,legacy_uniprot_all_2021,21,0.23952845,Epitope,0.2395,0.3262,0.2886
653706,legacy_uniprot_all_2021,29,0.28726465,Epitope,0.2873,0.3546,0.3311
653707,legacy_uniprot_all_2021,30,0.19641082,Epitope,0.1964,0.2674,0.2441
653708,legacy_uniprot_all_2021,16,0.2110197,Epitope,0.211,0.3294,0.2327
653710,legacy_uniprot_all_2021,15,0.2487238,Epitope,0.2487,0.3309,0.2774
653711,legacy_uniprot_all_2021,30,0.24772434,Epitope,0.2477,0.3189,0.2798
653712,legacy_uniprot_all_2021,29,0.23659453,Epitope,0.2366,0.3105,0.2544
653714,legacy_uniprot_all_2021,12,0.2810304,Epitope,0.281,0.372,0.2926
653715,legacy_uniprot_all_2021,23,0.22193713,Epitope,0.2219,0.3514,0.2927
653716,legacy_uniprot_all_2021,13,0.22659254,Epitope,0.2266,0.325,0.251
653718,legacy_uniprot_all_2021,20,0.28727573,Epitope,0.2873,0.3567,0.3218
653720,legacy_uniprot_all_2021,25,0.2360382,Epitope,0.236,0.3244,0.2668
653724,legacy_uniprot_all_2021,17,0.2769067,Epitope,0.2769,0.3688,0.3111
653726,legacy_uniprot_all_2021,18,0.22579701,Epitope,0.2258,0.3481,0.2592
653727,legacy_uniprot_all_2021,29,0.2453232,Epitope,0.2453,0.3109,0.2842
653728,legacy_uniprot_all_2021,29,0.21713838,Epitope,0.2171,0.311,0.2345
653753,legacy_uniprot_all_2021,8,0.19948724,Epitope,0.1995,0.2706,0.2064
653841,legacy_uniprot_all_2021,13,0.2984651,Epitope,0.2985,0.367,0.3275
653843,legacy_uniprot_all_2021,10,0.21453759,Epitope,0.2145,0.2931,0.2423
653844,legacy_uniprot_all_2021,21,0.24611703,Epitope,0.2461,0.3198,0.2909
653848,legacy_uniprot_all_2021,19,0.25295612,Epitope,0.253,0.3267,0.2719
653861,legacy_uniprot_all_2021,24,0.19211733,Epitope,0.1921,0.3044,0.263
653863,legacy_uniprot_all_2021,21,0.22082241,Epitope,0.2208,0.2906,0.2364
653864,legacy_uniprot_all_2021,29,0.2860389,Epitope,0.286,0.3758,0.3271
653865,legacy_uniprot_all_2021,9,0.25464675,Epitope,0.2546,0.3071,0.2696
653870,legacy_uniprot_all_2021,9,0.27538106,Epitope,0.2754,0.329,0.2903
653872,legacy_uniprot_all_2021,30,0.18483636,Epitope,0.1848,0.3095,0.2773
654356,legacy_uniprot_all_2021,22,0.24078704,Epitope,0.2408,0.3377,0.2819
654358,legacy_uniprot_all_2021,13,0.2565109,Epitope,0.2565,0.3606,0.2717
654359,legacy_uniprot_all_2021,25,0.22066537,Epitope,0.2207,0.3029,0.2641
654362,legacy_uniprot_all_2021,22,0.26907697,Epitope,0.2691,0.3283,0.3081
654368,legacy_uniprot_all_2021,24,0.212869,Epitope,0.2129,0.3114,0.2272
654369,legacy_uniprot_all_2021,25,0.21455947,Epitope,0.2146,0.3275,0.2791
654370,legacy_uniprot_all_2021,22,0.26526868,Epitope,0.2653,0.3713,0.307
654371,legacy_uniprot_all_2021,21,0.26882797,Epitope,0.2688,0.3639,0.3039
654373,legacy_uniprot_all_2021,12,0.27191788,Epitope,0.2719,0.3383,0.2891
654375,legacy_uniprot_all_2021,22,0.20925465,Epitope,0.2093,0.2776,0.2302
654376,legacy_uniprot_all_2021,16,0.2959209,Epitope,0.2959,0.3604,0.3157
